date,code,开盘,最高,最低,收盘,成交量,成交额
2026-02-24,sz.000063,37.48,38.0,37.24,37.77,82620729,3111933417.98
2026-02-25,sz.000063,37.9,38.2,37.61,37.96,77337475,2930917405.64
2026-02-26,sz.000063,37.97,38.74,37.83,38.57,98020425,3769272599.84
2026-02-27,sz.000063,38.1,38.85,37.76,38.65,86148352,3306058613.05
2026-03-02,sz.000063,37.96,38.43,37.49,37.84,93338625,3542532682.11
2026-03-03,sz.000063,38.18,39.15,36.68,36.75,144149266,5467610621.48
2026-03-04,sz.000063,36.43,37.76,36.4,36.97,89577043,3322085605.75
2026-03-05,sz.000063,37.48,38.3,37.26,37.88,106307649,4018976100.8
2026-03-06,sz.000063,37.49,37.66,37.03,37.4,78066967,2915545524.03
2026-03-09,sz.000063,36.0,36.0,34.8,35.7,149206982,5261724249.46
2026-03-10,sz.000063,36.16,36.93,36.06,36.87,99600867,3643111310.41
2026-03-11,sz.000063,37.0,37.9,36.99,37.12,113584992,4251217985.17
2026-03-12,sz.000063,36.81,38.1,36.68,37.12,101379123,3787622570.05
2026-03-13,sz.000063,36.8,37.22,36.35,36.46,73166993,2685444343.15
2026-03-16,sz.000063,36.31,36.64,35.58,36.5,71952396,2592702210.9
2026-03-17,sz.000063,36.68,36.74,35.76,35.83,64914771,2344666745.9
2026-03-18,sz.000063,35.83,36.48,35.37,36.25,66984593,2399879497.01
2026-03-19,sz.000063,35.6,35.81,35.18,35.35,62797096,2229283025.52
2026-03-20,sz.000063,35.45,35.64,34.27,34.27,80158372,2789730871.14
2026-03-23,sz.000063,33.57,33.64,31.9,32.05,110640288,3625221741.6
